데이터셋,채널,충방전기,용량(mAh),총사이클,RPT,Rss,가속수명,GITT,initial,unknown,시험종류,RPT주기,스케줄패턴,에러,경로
M1 ATL [45V 4175mAh],22,Toyo,4175,433,5,0,428,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×32,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\22
M1 ATL [45V 4175mAh],24,Toyo,4175,434,5,0,429,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×33,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\24
M1 ATL [45V 4175mAh],27,Toyo,4175,433,5,0,428,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×32,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\27
M1 ATL [45V 4175mAh],28,Toyo,4175,432,5,0,427,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×31,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\28
M1 ATL [45V 4175mAh],3,Toyo,4175,101,2,0,99,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\3
M1 ATL [45V 4175mAh],30,Toyo,4175,408,5,0,403,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×7,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\30
M1 ATL [45V 4175mAh],36,Toyo,4175,437,5,0,432,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×36,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\36
M1 ATL [45V 4175mAh],37,Toyo,4175,440,5,0,435,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×39,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\37
M1 ATL [45V 4175mAh],4,Toyo,4175,101,2,0,99,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\4
M1 ATL [45V 4175mAh],5,Toyo,4175,402,5,0,397,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\5
M1 ATL [45V 4175mAh],6,Toyo,4175,403,5,0,398,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×2,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\6
M1 ATL [45V 4175mAh],61,Toyo,4175,437,5,0,432,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×36,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\61
M1 ATL [45V 4175mAh],63,Toyo,4175,437,5,0,432,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×36,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\63
M1 ATL [45V 4175mAh],64,Toyo,4175,435,5,0,430,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×34,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\64
M1 ATL [45V 4175mAh],66,Toyo,4175,438,5,0,433,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×37,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\66
M1 ATL [45V 4175mAh],7,Toyo,4175,436,5,0,431,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×35,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\7
M1 ATL [45V 4175mAh],8,Toyo,4175,436,5,0,431,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×35,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\8
