No,카테고리,모델,제조사,개발단계,세대,전압(V),용량(mAh),온도,온도완성,EA수,BLK,사이클힌트,최초폴더,최종폴더,폴더수,파일수,크기(KB),크기변화(%),mAh자동,태그
66,Phone,M3 Chonan,SDI,-,,,4855,23°C,1/3,20,"BLK14, BLK8",,260226,260226,1,2,351,,O,
67,Phone,M3 PR SET,SDI,-,,,,,0/3,6,,,260226,260226,1,2,42,,X,PR_SET
68,Phone,M37,ATL,-,,4.53,5882,23°C,1/3,22,,,260226,260226,1,4,942,,O,
69,Phone,PA2 Bottom,TSDI,-,,4.47,4755,23°C/45°C,2/3,,,,260226,260226,1,2,449,,O,Bottom_Tape
70,Phone,Q7M Main,ICF,-,2nd,,1680,23°C,1/3,4,BLK7,1200CY,260226,260226,1,1,92,,O,ICF
71,Phone,Q8 Main,ATL,-,,4.55,2369,15°C/23°C/45°C,3/3,1,,38CY; restart,260226,260226,1,4,1076,,O,
72,Phone,Q8 Main,Cosmx,-,,4.55,2369,23°C,1/3,,,,260226,260226,1,1,723,,O,
73,Phone,Q8 Main RC,ATL,-,,4.55,2369,15°C/23°C/45°C,3/3,,,,260226,260226,1,3,386,,O,RC
74,Phone,Q8 SUB,SDI,-,,4.55,2485,23°C/45°C,2/3,,,300CY; After300,260226,260226,1,3,1024,,O,
75,Phone,Q8 Sub,ATL,-,,4.55,2485,15°C/23°C/45°C,3/3,1,,30CY; retry,260226,260226,1,4,1064,,O,
76,Phone,Q8 Sub RC,ATL,-,,4.55,2485,15°C/23°C/45°C,3/3,,,,260226,260226,1,3,323,,O,RC
77,Phone,Q8 main,Cosmx,-,,4.55,2369,45°C,1/3,,,,260226,260226,1,1,267,,O,
78,Phone,SB Phase2,SDI,MP2,2nd,,5432,23°C,1/3,28,BLK8,,260226,260226,1,2,547,,O,
79,Phone,SB Phase2 2,SDI,MP2,2nd,,5432,23°C,1/3,4,BLK8,1200CY,260226,260226,1,1,169,,O,
80,Phone,SB Phase2 MP1,LWN,-,,4.53,4875,23°C/45°C,2/3,8,,,260226,260226,1,2,452,,O,
81,Phone,SB2,LGES,MP1,,,5000,23°C,1/3,14,"BLK3, BLK8",,260226,260226,1,2,481,,O,
82,Phone(JDM),A06 5G JDM,LWN,-,2nd,4.47,4855,23°C,1/3,4,,600CY,260226,260226,1,1,159,,O,
83,Phone(JDM),GALAXY CORE GF,-,-,,,472,23°C,1/3,8,,,260226,260226,1,2,110,,O,
84,Phone(JDM),JDM A07,LWM,-,,,5830,23°C,1/3,18,BLK4,,260226,260226,1,1,1207,,O,
85,Phone(JDM),JDM A07,LWN,-,,,5830,23°C,1/3,6,"BLK3, BLK4",,260226,260226,1,2,117,,O,
86,Phone(JDM),JDM A07 5G,ATL,-,,,,23°C,1/3,,"BLK13, BLK14",,260226,260226,1,3,1022,,X,
87,Phone(JDM),JDM DM3 R,ATL,-,,,,23°C,1/3,,"BLK1, BLK3, BLK7",,260226,260226,1,3,252,,X,R-tape
88,Ring,Galaxy Ring US14 Low Voltage,-,-,,,,,0/3,,,1000CY,260226,260226,1,4,386,,X,LowVoltage
89,Ring,Galaxy Ring US17 Low Voltage,-,-,,,,,0/3,,,1000CY,260226,260226,1,1,46,,X,LowVoltage
90,Ring,Galaxy Ring US6 Low Voltage,-,-,,,,,0/3,,,,260226,260226,1,1,282,,X,LowVoltage
91,Ring,Galaxy Ring US8 Low Voltage,-,-,,,,,0/3,,,1000CY,260226,260226,1,2,249,,X,LowVoltage
92,Ring,SmartRing US5 Mixing Factory,Everpower,-,,4.35,17,,0/3,,,,260226,260226,1,1,56,,O,MixingFactory
93,Ring,SmartRing US6 Mixing Factory,Everpower,-,,4.35,17,,0/3,,,,260226,260226,1,1,93,,O,MixingFactory
94,Robot,Jinju Cradle MP2 42V,SDI,-,,,2870,23°C,1/3,9,"BLK1, BLK2, BLK5, BLK7",,260226,260226,1,4,322,,O,
95,Robot,Jinju Sus Can 45V,ATL,-,,,245,15°C/23°C/45°C,3/3,,,,260226,260226,1,3,750,,O,
96,Tab,Tab A11 CELL,ATL,-,,,,45°C,1/3,,,,260226,260226,1,1,58,,X,CELL_CHANGE
97,Tab,Tab A11plus R,-,-,,,3420,23°C,1/3,,,,260226,260226,1,1,94,,O,R-tape
98,Tab,Tab S11 Basic R Tpae,ATL,-,,4.47,4080,23°C/45°C,2/3,,,,260226,260226,1,2,519,,O,
99,Tab,Tab S11 Ultra R,ATL,-,,,,23°C/45°C,2/3,,,,260226,260226,1,3,375,,X,R-tape
100,Tab,Tab S12,ATL,-,,,,15°C/23°C/45°C,3/3,,"BLK10, BLK9",,260226,260226,1,5,850,,X,
101,Tab,Tab S12 45V,SDI,-,,,5196,23°C/45°C,2/3,8,BLK6,,260226,260226,1,2,938,,O,
102,Watch,W9u,ATL,-,,4.55,784,15°C,1/3,8,BLK5,,260226,260226,1,2,150,,O,
103,Watch,W9u 99ch,ATL,-,,4.55,784,15°C,1/3,6,BLK5,100CY,260226,260226,1,1,14,,O,
104,Watch,Watch9 Small,ATL,-,,4.55,382,15°C/23°C/45°C,3/3,38,,,260226,260226,1,3,766,,O,
105,Watch,Watch9 Ultra SUS,ATL,-,,4.45,784,45°C,1/3,8,BLK3,,260226,260226,1,1,188,,O,SUS
106,Watch,Watch9 Ultra SUS CAN 26,ATL,-,,4.45,784,23°C,1/3,22,BLK8,,260226,260226,1,1,499,,O,"SUS, SUS_CAN"
