test_category,exp_folder,sch_file,rel_path,capacity_mAh,schedule_desc,n_steps,n_groups_expanded,total_tc,first_record_interval_s,first_chamber_c,category_summary
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch023[023]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch024[024]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch025[025]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch026[026]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch028[028]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch029[029]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch030[030]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch031[031]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23,251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,성능\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23\M01Ch032[032]\251218_251230_00_박민희_4-04mAh_M1 ATL Anode Half T23.sch,11.0,Half_an_4.04mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251224_260110_00_박민희_3-45mAh_M1 ATL Cathode Half T23 GITT 0.1C,251224_260110_00_박민희_3-45mAh_M1 ATL Cathode Half T23 GITT 0.1C.sch,성능\251224_260110_00_박민희_3-45mAh_M1 ATL Cathode Half T23 GITT 0.1C\M01Ch016[016]\251224_260110_00_박민희_3-45mAh_M1 ATL Cathode Half T23 GITT 0.1C.sch,11.0,GITT_0.1C_half_ca_3.45mAh_SDI_M1,26,7,223,300.1000061035156,0,"GITT_PULSE:4, REST_SHORT:1, DCHG_SET:1, CHARGE_SET:1"
